,Id,Retweets#,Favorites#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying_encode
3003,1207283317722226688,0.0,0,0,824739266899087360,2,950,66,0.0,2743,6,3,0,3,6.0,1
3004,1207289728539729920,0.0,3,0,827927190876594176,2,143128,662,0.0,22334,13,0,0,1,5.0,1
3005,1207291653385605120,0.0,1,1,940900758081458176,2,16176,173,0.0,1977,13,2,0,2,5.0,1
3006,1207295140680937472,0.0,0,3,844309499750027264,2,1089,512,0.0,1207,5,1,0,0,5.0,1
3007,1207300834272395264,0.0,1,1,903976230835421184,2,6747,89,0.0,7876,3,1,0,0,6.0,1
3008,1207301442710777856,0.0,0,2,817092980691582976,2,5889,485,0.0,1937,4,1,0,0,6.0,1
3009,980195472840232960,1.0,2,0,952906248936132608,1,254,55,1.0,114,11,0,0,0,4.0,0
3010,984344156012208128,3.0,13,0,955752764486963200,1,386,39,3.0,107,5,1,0,0,4.0,0
3011,1016024078107529216,1.0,8,0,974278930453671936,1,68,1036,1.0,29,20,1,0,1,6.0,1
3013,1038099970862325760,4.0,25,0,1005289874797334528,1,97183,590,4.0,47136,40,4,0,0,5.0,0
3014,1038104928466681856,5.0,269,0,1029385203389747200,1,32728,1366,5.0,149,6,1,0,0,7.0,0
3015,1046854776019922944,1.0,24,0,1024736783085592576,1,2037,386,1.0,1013,5,1,0,0,5.0,0
3017,1057249946494267392,12.0,457,0,994141576002703360,1,48019,1023,12.0,18,10,4,0,0,5.0,0
3018,1058522995596148736,6.0,8,0,1005289874797334528,1,97183,590,6.0,47136,1,1,0,0,5.0,0
3019,1059867180416860160,3.0,23,2,957591479920332800,1,9223,403,3.0,14776,13,7,2,0,6.0,0
3021,1060864243065602048,3.0,15,0,1060862090406227968,1,38,39,3.0,24,3,1,0,0,5.0,0
3022,1064499048693080064,3.0,33,0,1052892428569579520,1,815,108,3.0,96,2,2,2,0,7.0,0
3024,1076193020859609088,1.0,43,0,958426142670811136,1,9902,941,1.0,843,34,4,0,1,6.0,0
3025,1077993005003493376,1.0,1,0,1048644913976500224,1,601,68,1.0,615,3,1,0,0,6.0,0
3026,1082309370598354944,1.0,68,0,960922465441640448,1,3285,469,1.0,206,20,1,0,0,5.0,0
3028,1090319944745738240,3.0,51,0,1022060667409518592,1,28892,308,3.0,956,9,1,0,1,6.0,0
3030,1095729990946181120,8.0,141,0,1038756580911669248,1,378,815,8.0,44,18,2,0,0,5.0,0
3033,1102974186643951616,3.0,184,0,1029385203389747200,1,32728,1366,3.0,149,7,1,0,0,4.0,0
3034,1103572209031880704,2.0,105,0,1029385203389747200,1,32728,1366,2.0,149,8,1,0,0,6.0,0
3035,1104054052000882688,5.0,134,0,1029385203389747200,1,32728,1366,5.0,149,5,1,0,0,5.0,0
3036,1105212544749395968,4.0,234,0,1029385203389747200,1,32728,1366,4.0,149,5,1,0,0,5.0,0
3037,1106642873234132992,2.0,132,0,1029385203389747200,1,32728,1366,2.0,149,8,1,0,0,8.0,0
3045,1118728692400832512,13.0,285,0,991178073914724352,1,2533,674,13.0,713,5,1,0,0,7.0,0
3052,1126265787625480192,1.0,20,0,1060631314678902784,1,18643,216,1.0,1039,7,0,0,0,5.0,0
